AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10
Para m¡ la inteligencia artificial es b sicamente un tipo de inteligencia que no es natural o propia de un ser humano sino m s bien el producto de un robot o sistema inform tico y que se utiliza para facilitar ciertas tareas en empresas o determinados procesos gracias a que minimiza los m rgenes de errores.,Poco,Poco,Poco,Poco,Nada,Mucho,Poco,Mucho,Poco,Rob¢tica (chat o tutores)
"Es una nueva tecnolog¡a que busca realizar funciones que son realizadas normalmente hechas por los humanos y lo hacen de manera autom tica, sin autorizaci¢n de el usuario.",Poco,Nada,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Plataformas educativas
"inteligencia artificial, rama de la inform tica que investiga procesos que imiten la inteligencia de los seres vivos",Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,Mucho,Plataformas educativas
Es un proceso de inform tica avanzado que este permite crear sistemas de  inteligencia y tareas humanas,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,Poco,Plataformas educativas
Son sistemas programados para realizar una tarea que necesite inteligencia humana.,Poco,Poco,Poco,Poco,Nada,Poco,Nada,Poco,Mucho,Plataformas educativas
Un recurso para propulsar el desarrollo de las personas que la usan con el prop¢sito de mejorar o aprender. ,Mucho,Mucho,Mucho,Poco,Nada,Mucho,Poco,Poco,Mucho,Plataformas educativas
Buena,Mucho,Poco,Mucho,Mucho,Poco,Mucho,Poco,Mucho,Poco,Simuladores
"Disciplina cient¡fica que se ocupa de crear programas inform ticos que ejecutan operaciones comparables a las que realiza la mente humana, como el aprendizaje o el razonamiento l¢gico.",Mucho,Poco,Mucho,Poco,Nada,Poco,Poco,Poco,Mucho,Simuladores
Es un pro y un contra en la educaci¢n porque ayuda de una forma sustancial al estudiante y la contra es porque no se esfuerzan en aprender,Mucho,Nada,Mucho,Poco,Mucho,Mucho,Mucho,Nada,Nada,Simuladores
Es un sistema avanzado para realizar tareas.,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Simuladores
,Mucho,Poco,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Simuladores
La inteligencia artificial son dispositivos o m quinas inteligentes que contienen informaci¢n avanzada de cualquier ciencia de la vida,Mucho,Poco,Mucho,Poco,Poco,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
Una nueva tecnolog¡a ,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Simuladores
Un buena herramienta,Mucho,Nada,Poco,Nada,Mucho,Poco,Mucho,Mucho,Poco,Plataformas educativas
Para m¡ es la capacidad que tienen las computadoras de procesar informaci¢n al igual que las personas.,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Plataformas educativas
Es la habilidad que tiene una m quina o un sistema basados en algoritmos para presentar las mismas capacidades que un ser humano.,Mucho,Poco,Mucho,Poco,Poco,Mucho,Mucho,Poco,Mucho,Simuladores
Es un sistema basado en una base de datos recopilados que ayudan a dar respuesta a las necesidades de la persona ,Mucho,Mucho,Mucho,Mucho,Nada,Poco,Poco,Mucho,Mucho,Otra
Es una rama de la informatica centrada en la creacion de sistemas capaces de simular las capacidades intelectuales humanas. ,Mucho,Nada,Mucho,Nada,Nada,Mucho,Nada,Nada,Mucho,Simuladores
Es una rama de la inform tica que se encarga de desarrollar sistemas o programas que puedan realizar tareas normales sin necesidad de la inteligencia humana,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Plataformas educativas
"La inteligencia artificial es una tecnolog¡a desarrollada para simplificar, ordenar, satisfacer las necesidades de los seres humanos en la actualidad, adem s de tambi‚n ampliar el conocimiento y mejorar el aprendizaje.",Mucho,Poco,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Simuladores
Una Herramienta £til para la Humanidad,Mucho,Mucho,Mucho,Poco,Nada,Mucho,Mucho,Mucho,Poco,Simuladores
Algo necesario pero contraproducente en los seres humanos ,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,Poco,Ninguna
Es una nueva tecnolog¡a innovadora,Poco,Nada,Poco,Nada,Mucho,Nada,Poco,Nada,Poco,Ninguna
,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Simuladores
Es una rama de la inform tica que se encarga de crear programas que pueden realizar diversas actividades.,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Plataformas educativas
Son avances tecnol¢gicos que nos ayudan a resolver cosas con m s rapidez y simplificar algunas cosas ,Mucho,Mucho,Mucho,Poco,Nada,Poco,Poco,Mucho,Mucho,Simuladores
Un algoritmo capaz de facilitar los procesos de b£squeda de datos ,Mucho,Nada,Mucho,Poco,Nada,Nada,Poco,Nada,Mucho,Ninguna
,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Simuladores
,Mucho,Poco,Mucho,Mucho,Poco,Mucho,Poco,Poco,Mucho,Plataformas educativas
Es importante ,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Simuladores
"La inteligencia artificial es un procesador de informaci¢n con la capacidad de crear, analizar y responder cualquier pregunta o cuesti¢n.",Mucho,Poco,Mucho,Nada,Nada,Mucho,Mucho,Poco,Poco,Plataformas educativas
"Es un sistema que est  desarrollado  para  realizar diversas tareas , enfocado en el razonamiento y el aprendizaje. ",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Simuladores
Es algo que viene para revolucionar el mundo ,Mucho,Nada,Mucho,Poco,Poco,Poco,Mucho,Nada,Mucho,Ninguna
Una herramienta ,Mucho,Mucho,Mucho,Nada,Nada,Mucho,Poco,Poco,Mucho,Rob¢tica (chat o tutores)
Es una simulaci¢n de inteligencia que puede ayudar bastante ,Mucho,Poco,Mucho,Nada,Poco,Poco,Mucho,Nada,Mucho,Simuladores
Es un medio mediante el cu l podemos facilitar el aprendizaje y la obtenci¢n de informaci¢n de manera m s efectiva ahorrando el mayor tiempo posible.,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Mucho,Mucho,Simuladores
Es la capacidad que tiene una m quina de desarrollar conocimiento ,Mucho,Poco,Mucho,Poco,Nada,Nada,Poco,Poco,Mucho,Plataformas educativas
La inteligencia artificial son  los recursos se obtiene para reforzar los conocimiento en el aprendizaje,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Poco,Rob¢tica (chat o tutores)
,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Rob¢tica (chat o tutores)
Es aquella que se puede utilizar para crear o modificar cualquier tarea ,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
"Para m¡ la inteligencia artificial, viene siendo informaciones que suministramos de la internet que se encuentran en la nube",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Simuladores
Es una herramienta dise¤ada para facilitar el f cil acceso a infinitas informaciones en sentido genera ,Mucho,Nada,Mucho,Nada,Nada,Nada,Nada,Nada,Mucho,Ninguna
Un ente o sistema que se apoya del internet para adquirir conocimientos ,Mucho,Mucho,Mucho,Poco,Nada,Mucho,Mucho,Poco,Mucho,Plataformas educativas
Es una herramienta que utiliza la tecnolog¡a para ayudar a los humanos con m£ltiples tareas ,Mucho,Poco,Mucho,Poco,Poco,Poco,Nada,Poco,Poco,Asistentes virtuales
"es proporcionar a una m quina, robot, etc, las habilidades de raciocinio con las que cuentan los seres humanos para que estas lo ejecuten de la misma manera ",Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Simuladores
"campo de la inform tica que se enfoca en crear sistemas que puedan realizar tareas que normalmente requieren inteligencia humana, como el aprendizaje, el razonamiento y la percepci¢n.",Poco,Poco,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,Simuladores
Es un campo de la inform tica que se enfoca en crear sistemas que puedan realizar tareas que normalmente requieren inteligencia humana. ,Mucho,Poco,Mucho,Mucho,Poco,Poco,Mucho,Poco,Mucho,Plataformas educativas
Es una forma que tiene el internet de crear facilidades para el consumidor ,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Poco,Poco,Poco,Asistentes virtuales
"Es la havilidad de una maquina de presentar las mismas capacidades  que los seres humanos
",Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Plataformas educativas
,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Plataformas educativas
Son las habilidades que puede hacer igual que un ser vivo,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Poco,Poco,Poco,Plataformas educativas
La considero c¢mo una herramienta  complementaria para los seres humanos en la actualidad.,Mucho,Poco,Mucho,Poco,Nada,Poco,Poco,Poco,Mucho,Plataformas educativas
Es la habilidad de una m quina  de  usar el razonamiento l¢gico y la creatividad capacidades que Los seres humanos tienen,Mucho,Poco,Poco,Nada,Poco,Poco,Mucho,Poco,Mucho,Plataformas educativas
Es un campo de la inform tica que realiza asignaci¢nes precisas y concisa en el menor tiempo posible,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Plataformas educativas
Una herramientas ,Mucho,Poco,Mucho,Poco,Nada,Mucho,Mucho,Mucho,Mucho,Simuladores
Inteligencia humana el aprendizaje y el razonamiento ,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Aprendizaje autom tico
Para m¡ es una herramienta tecnolog¡a que tiene el fin de realizar tareas b sicas que puede realizar el ser humano ,Mucho,Poco,Mucho,Poco,Nada,Mucho,Mucho,Poco,Mucho,Asistentes virtuales
es un campo de la inform tica que se enfoca en crear sistemas que puedan realizar tareas que normalmente requieren inteligencia humana,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Simuladores
Es una nueva programaci¢n de la cual se sustenta ella misma y tiene la capacidad de ayudar o hacer una variedad de cosas entre ellas dar Consejos y ideas para un trabajo. ,Mucho,Poco,Mucho,Nada,Nada,Mucho,Mucho,Poco,Mucho,Rob¢tica (chat o tutores)
Son maquinas o programas informaticos destinados a realizar acciones determinadas.,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,Mucho,Mucho,Asistentes virtuales
"La inteligencia artificial permite una mayor rapidez a la hora de tomar decisiones dando en si m£ltiples opciones, tambi‚n la inteligencia artificial desarrolla programas capaces de emular procesos propios de la inteligencia humana es un campo de la inform tica que se centra en crear sistemas y programas capaces de realizar tareas que normalmente requieren inteligencia humana. Esto tambi‚n incluye la capacidad de aprender a reconocer patrones, resolver problemas y adaptarse a nuevas situaciones.  inteligencia artificial permite automatizar y agilizar tareas cuya ejecuci¢n puede resultar aburrida o requerir mucho tiempo.",Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Aprendizaje autom tico
Es un sistema que puede realizar tareas que requiere inteligencia humana .,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Rob¢tica (chat o tutores)
Es un sistema que se encarga de creas programas inform ticos para el mejor manejos de sistemas para su mayor comprensi¢n y uso por el set humano ,Mucho,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Poco,Asistentes virtuales
Es una rama de la inform tica  que desarrolla programas capaces de emular procesos propios de la inteligencia humana ,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,Mucho,Plataformas educativas
Es un m‚todo de investigaci¢n moderno ,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,Mucho,Mucho,Simuladores
Son habilidades y conocimientos que tiene una maquina,Mucho,Mucho,Mucho,Poco,Nada,Mucho,Poco,Mucho,Mucho,Asistentes virtuales
"Una herramienta de trabajo muy £til, ya que la misma ayuda a simplificar las tareas y actividades impuestas por los docentes de mi instituci¢n. ",Mucho,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Simuladores
Una herramienta muy £til y ayuda ,Mucho,Mucho,Mucho,Poco,Nada,Nada,Mucho,Mucho,Poco,Rob¢tica (chat o tutores)
"La inteligencia artificial (IA) es el campo de la ciencia de computaci¢n dedicado a la resoluci¢n de problemas cognitivos asociados com£nmente a la inteligencia humana, como el aprendizaje, la creaci¢n y el reconocimiento de im genes.",Mucho,Poco,Mucho,Nada,Nada,Poco,Poco,Poco,Mucho,Plataformas educativas
Es una Sistema de algoritmo Basado en Tecnolog¡a Avanzada capaz de crear tareas relacionadas con el razonamiento humano. ,Nada,Nada,Mucho,Nada,Nada,Nada,Nada,Nada,Poco,Ninguna
Para mi es un sistema que  ha llevado a tecnolog¡a a un mejor desarrollo brindando mejor facilidad de trabajo al ser humano. ,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Plataformas educativas
Tecnolog¡a ,Mucho,Nada,Poco,Nada,Nada,Nada,Nada,Nada,Poco,Simuladores
,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Ninguna
simulaci¢n de inteligencia humana por parte de m quinas,Mucho,Poco,Mucho,Nada,Nada,Poco,Poco,Nada,Nada,Aprendizaje autom tico
Se trata de aquella tecnolog¡a con autonom¡a propia que ayuda al ser humano a realizar actividades diarias sin necesidad de una configuraci¢n continua.,Mucho,Poco,Poco,Nada,Nada,Mucho,Nada,Poco,Poco,Plataformas educativas
Son m quinas que se utilizan para aprender ,Mucho,Poco,Mucho,Poco,Mucho,Poco,Poco,Poco,Mucho,Plataformas educativas
Ciencias de la computaci¢n por sistemas inform ticos ,Mucho,Poco,Mucho,Poco,Mucho,Mucho,Poco,Poco,Mucho,Asistentes virtuales
"La inteligencia artificial es una fuente de inteligencia propia m s no aut¢noma que es utilizada para buscar conocimientos m s espec¡ficos entorno a cualquier tema, tambi‚n es utilizada para que m quinas tengan conciencia como lo podr¡a ser un robot.",Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,Poco,Mucho,Asistentes virtuales
"Es una programaci¢n creada a trav‚s de una computadora y dotada de la mayor informaci¢n posible que hay en las redes, dise¤adas para ayudarnos a encontrar las informaciones que necesitemos con un fin informativo etc.",Poco,Poco,Mucho,Nada,Nada,Poco,Poco,Poco,Poco,Rob¢tica (chat o tutores)
Una p gina inteligente de evaluaci¢n acad‚mica ,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Simuladores
Es un sistema que mediante una gran recopilaci¢n de informaci¢n de diferentes fuente y categor¡a tiene la capacidad de responder un sinn£mero de inc¢gnitas. Y resolver ciertas problem ticas ,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Plataformas educativas
Es una ciencia de la computaci¢n que tiene capacidades intelectuales para realizar tareas de una manera m s r pida y clara.,Mucho,Poco,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Otra
Son un grupo de comandos y especificaciones las cuales permiten desarrollar una serie de resultados de manera mas efectiva y eficiente que el pensamiento humano promedio.,Mucho,Mucho,Mucho,Nada,Nada,Mucho,Poco,Poco,Nada,Otra
